,Date,Open,High,Low,Close,Adj Close,Volume,Wiki_trend,Replies_tw,Retweets_tw,Likes_tw,Quote_tw,compound_tw,neg_tw,neu_tw,pos_tw,Volume_tw,Pos_vol_tw,Neg_vol_tw,Neu_vol_tw,n_com_red,score_red,awards_red,upvote_ratio_red,cmpd_red,neg_red,neu_red,pos_red,Volume_Red,Pos_vol_red,Neg_vol_red,Neu_vol_red,tw_pct_pos,tw_pct_neg,tw_pct_neu,red_pct_pos,red_pct_neg,red_pct_neu
0,2017-11-09,2.05314,2.17423,1.89394,1.99077,1.99077,19192200,0,7.0,27.0,64.0,2.0,2.3378,0.0,6.19,0.81,7.0,4.0,0.0,3.0,88.0,34.0,0.0,0.0,3.5922,0.424,8.473,2.102,11.0,7.0,3.0,1.0,57.143,0.0,42.857,63.636,27.273,9.091
1,2017-11-10,2.00773,2.06947,1.64478,1.79684,1.79684,11155000,0,0.0,13.0,23.0,0.0,2.42,0.0,6.86,1.14,8.0,4.0,0.0,4.0,49.0,46.0,0.0,0.0,-0.0553,0.819,7.608,0.573,9.0,3.0,4.0,2.0,50.0,0.0,50.0,33.333,44.444,22.222
2,2017-11-11,1.78628,1.91775,1.61429,1.67047,1.67047,8178150,0,0.0,8.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,-0.4019,0.213,1.787,0.0,2.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,50.0,50.0
3,2017-11-12,1.66889,1.6728,1.46256,1.51969,1.51969,15298700,0,1.0,26.0,21.0,1.0,1.3828,0.088,4.2,0.711,5.0,3.0,0.0,2.0,70.0,50.0,0.0,0.0,-1.376,1.209,8.061,0.731,10.0,2.0,6.0,2.0,60.0,0.0,40.0,20.0,60.0,20.0
4,2017-11-13,1.52601,1.73502,1.5176,1.68662,1.68662,12238800,0,0.0,10.0,33.0,0.0,3.1454,0.0,6.5,1.5,8.0,6.0,0.0,2.0,36.0,31.0,0.0,0.0,2.2589,0.3339999999999999,9.5,1.164,11.0,5.0,1.0,5.0,75.0,0.0,25.0,45.455,9.091,45.455
5,2017-11-14,1.68928,1.73537,1.56827,1.59258,1.59258,7829600,0,0.0,3.0,5.0,1.0,0.5025999999999999,0.106,2.661,0.2339999999999999,3.0,2.0,0.0,1.0,247.0,75.0,0.0,0.0,1.6398,1.097,11.398,1.506,14.0,6.0,3.0,5.0,66.667,0.0,33.333,42.857,21.429,35.714
6,2017-11-15,1.58777,1.62498,1.4955,1.53045,1.53045,7615500,0,0.0,7.0,25.0,3.0,-0.1531,0.127,2.873,0.0,3.0,0.0,1.0,2.0,60.0,25.0,0.0,0.0,1.3553000000000002,0.579,7.574,0.847,9.0,4.0,3.0,2.0,0.0,33.333,66.667,44.444,33.333,22.222
7,2017-11-16,1.55619,1.68222,1.53689,1.57792,1.57792,8928640,0,0.0,10.0,19.0,0.0,2.3536,0.0,6.144,0.8560000000000001,7.0,4.0,0.0,3.0,75.0,28.0,0.0,0.0,1.8874,0.31,7.784,0.905,9.0,5.0,2.0,2.0,57.143,0.0,42.857,55.556,22.222,22.222
8,2017-11-17,1.58005,1.58266,1.4953,1.51036,1.51036,8508840,0,0.0,3.0,5.0,0.0,1.4599,0.0,2.606,0.394,3.0,2.0,0.0,1.0,71.0,14.0,0.0,0.0,-0.5509,0.882,5.446,0.671,7.0,2.0,4.0,1.0,66.667,0.0,33.333,28.571,57.143,14.286
9,2017-11-18,1.51136,1.67678,1.49823,1.67433,1.67433,32167300,0,1.0,12.0,70.0,1.0,0.1779,0.242,2.44,0.319,3.0,1.0,0.0,2.0,24.0,17.0,0.0,0.0,0.6886,0.532,6.508,0.959,8.0,4.0,3.0,1.0,33.333,0.0,66.667,50.0,37.5,12.5
10,2017-11-19,1.67336,1.70123,1.5678,1.61377,1.61377,38081700,0,0.0,6.0,7.0,1.0,1.311,0.083,2.54,0.377,3.0,2.0,0.0,1.0,41.0,38.0,0.0,0.0,1.547,0.013,2.576,0.411,3.0,2.0,0.0,1.0,66.667,0.0,33.333,66.667,0.0,33.333
11,2017-11-20,1.62559,1.66065,1.55561,1.62445,1.62445,12994500,0,0.0,4.0,14.0,0.0,1.0143,0.0,1.655,0.345,2.0,2.0,0.0,0.0,114.0,24.0,0.0,0.0,0.6857000000000001,1.129,5.826,1.045,8.0,4.0,3.0,1.0,100.0,0.0,0.0,50.0,37.5,12.5
12,2017-11-21,1.65817,1.65967,1.54984,1.57406,1.57406,5440790,0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,37.0,36.0,0.0,0.0,3.7255,0.0,10.216,1.784,12.0,9.0,0.0,3.0,0.0,0.0,100.0,75.0,0.0,25.0
13,2017-11-22,1.59049,1.62137,1.55823,1.61175,1.61175,7177000,0,1.0,3.0,13.0,0.0,1.1292,0.065,2.533,0.403,3.0,2.0,0.0,1.0,177.0,87.0,0.0,0.0,2.2467,1.164,11.992,2.843,16.0,9.0,4.0,3.0,66.667,0.0,33.333,56.25,25.0,18.75
14,2017-11-23,1.6106,1.61668,1.53759,1.5487,1.5487,8392640,0,3.0,230.0,130.0,3.0,0.4333,0.144,4.471,0.385,5.0,3.0,1.0,1.0,118.0,35.0,0.0,0.0,3.0304,0.717,11.005,1.278,13.0,7.0,2.0,4.0,60.0,20.0,20.0,53.846,15.385,30.769
15,2017-11-24,1.56953,1.82018,1.55558,1.71771,1.71771,12155400,0,1.0,236.0,144.0,2.0,1.6113,0.155,4.158,0.686,5.0,3.0,0.0,2.0,33.0,34.0,0.0,0.0,0.1543999999999999,0.7869999999999999,7.812,0.4009999999999999,9.0,3.0,2.0,4.0,60.0,0.0,40.0,33.333,22.222,44.444
16,2017-11-25,1.71697,1.95764,1.69397,1.87387,1.87387,12839900,0,1.0,7.0,19.0,0.0,0.9711,0.0,2.585,0.415,3.0,3.0,0.0,0.0,64.0,38.0,0.0,0.0,0.2385,0.723,5.208,1.068,7.0,3.0,3.0,1.0,100.0,0.0,0.0,42.857,42.857,14.286
